id,comercio,meses_distintos,es_recurrente
0132462ee1acf1c37e7411b20bac94e1d19959df,CHEDRAUI,3,0
0132462ee1acf1c37e7411b20bac94e1d19959df,CINEPOLIS,2,0
0132462ee1acf1c37e7411b20bac94e1d19959df,CRUNCHYROLL,2,0
0132462ee1acf1c37e7411b20bac94e1d19959df,DIDI FOOD,6,0
0132462ee1acf1c37e7411b20bac94e1d19959df,DIDIFOOD,1,0
0132462ee1acf1c37e7411b20bac94e1d19959df,FACEBOOK,1,0
0132462ee1acf1c37e7411b20bac94e1d19959df,FARMACIAS GUADALAJARA,1,0
0132462ee1acf1c37e7411b20bac94e1d19959df,GOOGLE,11,1
0132462ee1acf1c37e7411b20bac94e1d19959df,ITUNES,11,1
0132462ee1acf1c37e7411b20bac94e1d19959df,LIVERPOOL,1,0
0132462ee1acf1c37e7411b20bac94e1d19959df,MERCADO PAGO,3,0
0132462ee1acf1c37e7411b20bac94e1d19959df,NETFLIX,2,0
0132462ee1acf1c37e7411b20bac94e1d19959df,OXXO,12,1
0132462ee1acf1c37e7411b20bac94e1d19959df,SPOTIFY,1,0
0132462ee1acf1c37e7411b20bac94e1d19959df,STARBUCKS,6,0
0132462ee1acf1c37e7411b20bac94e1d19959df,SUPERAMA,1,0
0132462ee1acf1c37e7411b20bac94e1d19959df,TELCEL,12,1
0132462ee1acf1c37e7411b20bac94e1d19959df,TOTALPLAY,11,1
0132462ee1acf1c37e7411b20bac94e1d19959df,UBER,4,0
0132462ee1acf1c37e7411b20bac94e1d19959df,UBER EATS,10,1
0132462ee1acf1c37e7411b20bac94e1d19959df,WALMART,1,0
0172891ba3000c3150a6985265517678ebbf3b39,ADOBE,4,0
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON,13,1
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON PRIME,13,1
0172891ba3000c3150a6985265517678ebbf3b39,CARLS JR,1,0
0172891ba3000c3150a6985265517678ebbf3b39,CFE,1,0
0172891ba3000c3150a6985265517678ebbf3b39,CRUNCHYROLL,2,0
0172891ba3000c3150a6985265517678ebbf3b39,FARMACIAS SIMILARES,1,0
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE,8,1
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE YOUTUBE,7,1
0172891ba3000c3150a6985265517678ebbf3b39,IZZI,2,0
0172891ba3000c3150a6985265517678ebbf3b39,LIVERPOOL,5,0
0172891ba3000c3150a6985265517678ebbf3b39,MERCADO PAGO,7,1
0172891ba3000c3150a6985265517678ebbf3b39,MI ATT,1,0
0172891ba3000c3150a6985265517678ebbf3b39,MICROSOFT,7,1
0172891ba3000c3150a6985265517678ebbf3b39,NETFLIX,13,1
0172891ba3000c3150a6985265517678ebbf3b39,OXXO,4,0
0172891ba3000c3150a6985265517678ebbf3b39,OXXO GAS,1,0
0172891ba3000c3150a6985265517678ebbf3b39,RAPPI,6,0
0172891ba3000c3150a6985265517678ebbf3b39,SORIANA,3,0
0172891ba3000c3150a6985265517678ebbf3b39,UBER,10,1
0172891ba3000c3150a6985265517678ebbf3b39,UBER EATS,11,1
0172891ba3000c3150a6985265517678ebbf3b39,UNDOSTRES,8,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,ALIEXPRESS,3,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,AMAZON,10,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,AMAZON PRIME,13,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,CRUNCHYROLL,13,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,DIDI,3,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,DIDI FOOD,1,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,DIDI RIDES,1,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,DIDIFOOD,5,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,GOOGLE,1,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,MELIMAS,13,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,MERCADO PAGO,11,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,MERCADOPAGO,5,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,NETFLIX,13,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,RAPPI,8,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,RAPPIPRO,6,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,TEMU,2,0
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,TOTALPLAY,11,1
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,UNDOSTRES,13,1
0222064a58a1778a4d7a9e10088174a532e71553,7 ELEVEN,9,1
0222064a58a1778a4d7a9e10088174a532e71553,7ELEVEN,1,0
0222064a58a1778a4d7a9e10088174a532e71553,AMAZON,13,1
0222064a58a1778a4d7a9e10088174a532e71553,APPLE,7,1
0222064a58a1778a4d7a9e10088174a532e71553,CINEPOLIS,2,0
0222064a58a1778a4d7a9e10088174a532e71553,COPPEL,1,0
0222064a58a1778a4d7a9e10088174a532e71553,FARMACIAS GUADALAJARA,3,0
0222064a58a1778a4d7a9e10088174a532e71553,GOOGLE,8,1
0222064a58a1778a4d7a9e10088174a532e71553,LIVERPOOL,1,0
0222064a58a1778a4d7a9e10088174a532e71553,MEGACABLE,4,0
0222064a58a1778a4d7a9e10088174a532e71553,MERCADO PAGO,4,0
0222064a58a1778a4d7a9e10088174a532e71553,OXXO,12,1
0222064a58a1778a4d7a9e10088174a532e71553,SEARS,1,0
0222064a58a1778a4d7a9e10088174a532e71553,SORIANA,4,0
0222064a58a1778a4d7a9e10088174a532e71553,SPOTIFY,13,1
0222064a58a1778a4d7a9e10088174a532e71553,STARBUCKS,1,0
0222064a58a1778a4d7a9e10088174a532e71553,TELCEL,10,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,7 ELEVEN,9,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,AMAZON,2,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,AMAZON PRIME,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,APPLE,8,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,CARLS JR,3,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,CFE,6,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,CINEPOLIS,3,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,FARMACIAS DEL AHORRO,8,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,FARMACIAS GUADALAJARA,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,HEB,4,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,LIVERPOOL,9,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,OXXO,7,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,OXXO GAS,6,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,RAPPI,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,RAPPIPRO,4,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,SAMS CLUB,10,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,SEARS,11,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,SERV AGUA DREN,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,SHEIN,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,SORIANA,2,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,STARBUCKS,9,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,SUPERCENTER,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,TELCEL,12,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,TELMEX,7,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,UBER,9,1
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,UBER EATS,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,VIX,1,0
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,WALMART,1,0
029be42d942d33a14cafeef661143d8940a9efa8,7 ELEVEN,7,1
029be42d942d33a14cafeef661143d8940a9efa8,AMAZON,4,0
029be42d942d33a14cafeef661143d8940a9efa8,AMAZON PRIME,3,0
029be42d942d33a14cafeef661143d8940a9efa8,CABLEYCOMUN,10,1
029be42d942d33a14cafeef661143d8940a9efa8,CARLS JR,5,0
029be42d942d33a14cafeef661143d8940a9efa8,CFE,7,1
029be42d942d33a14cafeef661143d8940a9efa8,CINEPOLIS,4,0
029be42d942d33a14cafeef661143d8940a9efa8,COSTCO,8,1
029be42d942d33a14cafeef661143d8940a9efa8,FARMACIAS DEL AHORRO,4,0
029be42d942d33a14cafeef661143d8940a9efa8,FARMACIAS GUADALAJARA,1,0
029be42d942d33a14cafeef661143d8940a9efa8,GOOGLE,1,0
029be42d942d33a14cafeef661143d8940a9efa8,HEB,9,1
029be42d942d33a14cafeef661143d8940a9efa8,LIVERPOOL,1,0
029be42d942d33a14cafeef661143d8940a9efa8,MERCADO PAGO,3,0
029be42d942d33a14cafeef661143d8940a9efa8,MICROSOFT,10,1
029be42d942d33a14cafeef661143d8940a9efa8,OXXO,9,1
029be42d942d33a14cafeef661143d8940a9efa8,OXXO GAS,5,0
029be42d942d33a14cafeef661143d8940a9efa8,PARCO,4,0
029be42d942d33a14cafeef661143d8940a9efa8,RAPPI,4,0
029be42d942d33a14cafeef661143d8940a9efa8,SORIANA,2,0
029be42d942d33a14cafeef661143d8940a9efa8,SPOTIFY,12,1
029be42d942d33a14cafeef661143d8940a9efa8,STARBUCKS,5,0
029be42d942d33a14cafeef661143d8940a9efa8,SUPERCENTER,1,0
029be42d942d33a14cafeef661143d8940a9efa8,UBER,1,0
029be42d942d33a14cafeef661143d8940a9efa8,UBRPAGOSMEX,4,0
029be42d942d33a14cafeef661143d8940a9efa8,WALMART,2,0
02a73132fe5c2af6d596eec88629c754d9e9c860,7 ELEVEN,1,0
02a73132fe5c2af6d596eec88629c754d9e9c860,GOOGLE YOUTUBE,6,0
02a73132fe5c2af6d596eec88629c754d9e9c860,MERCADO PAGO,1,0
02a73132fe5c2af6d596eec88629c754d9e9c860,MICROSOFT,13,1
02a73132fe5c2af6d596eec88629c754d9e9c860,OXXO,4,0
02a73132fe5c2af6d596eec88629c754d9e9c860,SEARS,3,0
02a73132fe5c2af6d596eec88629c754d9e9c860,SORIANA,1,0
02a73132fe5c2af6d596eec88629c754d9e9c860,TELCEL,1,0
02a73132fe5c2af6d596eec88629c754d9e9c860,UBER,13,1
02a73132fe5c2af6d596eec88629c754d9e9c860,UBER EATS,4,0
02b41a28e9c440a28577c71daec52258dc817866,7 ELEVEN,7,1
02b41a28e9c440a28577c71daec52258dc817866,7ELEVEN,9,1
02b41a28e9c440a28577c71daec52258dc817866,ALSUPER,1,0
02b41a28e9c440a28577c71daec52258dc817866,AMAZON,2,0
02b41a28e9c440a28577c71daec52258dc817866,AMAZON PRIME,2,0
02b41a28e9c440a28577c71daec52258dc817866,COSTCO,2,0
02b41a28e9c440a28577c71daec52258dc817866,FARMACIAS GUADALAJARA,4,0
02b41a28e9c440a28577c71daec52258dc817866,GOOGLE,1,0
02b41a28e9c440a28577c71daec52258dc817866,GOOGLE YOUTUBEPREMIUM,9,1
02b41a28e9c440a28577c71daec52258dc817866,HEB,2,0
02b41a28e9c440a28577c71daec52258dc817866,ITUNES,3,0
02b41a28e9c440a28577c71daec52258dc817866,IZZI,1,0
02b41a28e9c440a28577c71daec52258dc817866,MICROSOFT,13,1
02b41a28e9c440a28577c71daec52258dc817866,OXXO,3,0
02b41a28e9c440a28577c71daec52258dc817866,OXXO GAS,1,0
02b41a28e9c440a28577c71daec52258dc817866,SORIANA,1,0
02b41a28e9c440a28577c71daec52258dc817866,SPOTIFY,9,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,AMAZON,13,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,AMAZON PRIME,13,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,CFE,2,0
03a0f8bca94b5801342b9b479213fc548b3f0dd1,CINEPOLIS,7,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,FACEBOOK,4,0
03a0f8bca94b5801342b9b479213fc548b3f0dd1,GOOGLE ONE,5,0
03a0f8bca94b5801342b9b479213fc548b3f0dd1,GOOGLE YOUTUBEPREMIUM,12,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,MEGACABLE,8,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,MELIMAS,2,0
03a0f8bca94b5801342b9b479213fc548b3f0dd1,MERCADO PAGO,12,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,NETFLIX,13,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,OXXO,8,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,SAMS CLUB,5,0
03a0f8bca94b5801342b9b479213fc548b3f0dd1,SORIANA,1,0
03a0f8bca94b5801342b9b479213fc548b3f0dd1,SPOTIFY,13,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,TELCEL,11,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,TELMEX,3,0
03a0f8bca94b5801342b9b479213fc548b3f0dd1,UBER,12,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,UBER EATS,11,1
03a0f8bca94b5801342b9b479213fc548b3f0dd1,WALMART,10,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,7 ELEVEN,11,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,AMAZON,7,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,APPLE,8,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,CINEPOLIS,2,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,COSTCO,2,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,DIDI,7,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,DIDI FOOD,1,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,DIDI RIDES,13,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,DIDIFOOD,2,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,FARMACIAS DEL AHORRO,3,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,LIVERPOOL,5,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,MERCADO PAGO,1,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,OXXO,6,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,RAPPI,13,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,SMART FIT,7,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,STARBUCKS,6,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,SUPERAMA,2,0
0431ee5805e9638f3b24d93812182ec88d7b8c20,TELCEL,13,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,TOTAL PLAY,13,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,UBER,7,1
0431ee5805e9638f3b24d93812182ec88d7b8c20,UBER EATS,13,1
0471167c6dcd9e87952bee4478ce26337793c07f,7 ELEVEN,6,0
0471167c6dcd9e87952bee4478ce26337793c07f,7ELEVEN,3,0
0471167c6dcd9e87952bee4478ce26337793c07f,AMAZON,9,1
0471167c6dcd9e87952bee4478ce26337793c07f,AMAZON PRIME,8,1
0471167c6dcd9e87952bee4478ce26337793c07f,AT&T,1,0
0471167c6dcd9e87952bee4478ce26337793c07f,CINEPOLIS,2,0
0471167c6dcd9e87952bee4478ce26337793c07f,COPPEL,1,0
0471167c6dcd9e87952bee4478ce26337793c07f,FARMACIAS DEL AHORRO,1,0
0471167c6dcd9e87952bee4478ce26337793c07f,FARMACIAS GUADALAJARA,2,0
0471167c6dcd9e87952bee4478ce26337793c07f,GOOGLE,12,1
0471167c6dcd9e87952bee4478ce26337793c07f,HEB,2,0
0471167c6dcd9e87952bee4478ce26337793c07f,IZZI,8,1
0471167c6dcd9e87952bee4478ce26337793c07f,MI ATT,2,0
0471167c6dcd9e87952bee4478ce26337793c07f,NETFLIX,7,1
0471167c6dcd9e87952bee4478ce26337793c07f,OXXO,1,0
0471167c6dcd9e87952bee4478ce26337793c07f,RAPPI,1,0
0471167c6dcd9e87952bee4478ce26337793c07f,SORIANA,1,0
0471167c6dcd9e87952bee4478ce26337793c07f,SPOTIFY,12,1
0471167c6dcd9e87952bee4478ce26337793c07f,STARBUCKS,4,0
0471167c6dcd9e87952bee4478ce26337793c07f,TEMU,2,0
0471167c6dcd9e87952bee4478ce26337793c07f,UBER,3,0
0471167c6dcd9e87952bee4478ce26337793c07f,UBER EATS,6,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,AMAZON,6,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,AMAZON PRIME,4,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,CINEPOLIS,6,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,COSTCO,4,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,FARMACIAS DEL AHORRO,4,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,FARMACIAS GUADALAJARA,3,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,HEB,2,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,LIVERPOOL,1,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,MELIMAS,13,1
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,MERCADO PAGO,13,1
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,NETFLIX,8,1
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,OXXO,5,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,OXXO GAS,1,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,RAPPI,4,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,RAPPIPRO,1,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,SORIANA,1,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,SPOTIFY,12,1
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,STARBUCKS,2,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,SUPERCENTER,5,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,UBER,5,0
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,UBER EATS,9,1
04e15785e1f1d2a4893438cf2c5ec8036eea4e36,WALMART,5,0
04fd28294e679ea9848b3057862a6bf40367331e,AMAZON,13,1
04fd28294e679ea9848b3057862a6bf40367331e,AMAZON PRIME,13,1
04fd28294e679ea9848b3057862a6bf40367331e,COPPEL,1,0
04fd28294e679ea9848b3057862a6bf40367331e,DIDI RIDES,2,0
04fd28294e679ea9848b3057862a6bf40367331e,MERCADO PAGO,6,0
04fd28294e679ea9848b3057862a6bf40367331e,MI ATT,4,0
04fd28294e679ea9848b3057862a6bf40367331e,OXXO,2,0
04fd28294e679ea9848b3057862a6bf40367331e,SPOTIFY,13,1
054be5f40d50b28d2b82af57159343989dd28012,7 ELEVEN,3,0
054be5f40d50b28d2b82af57159343989dd28012,AMAZON,13,1
054be5f40d50b28d2b82af57159343989dd28012,AMAZON PRIME,12,1
054be5f40d50b28d2b82af57159343989dd28012,APPLE,8,1
054be5f40d50b28d2b82af57159343989dd28012,CARLS JR,1,0
054be5f40d50b28d2b82af57159343989dd28012,CFE,4,0
054be5f40d50b28d2b82af57159343989dd28012,CHEDRAUI,1,0
054be5f40d50b28d2b82af57159343989dd28012,CRUNCHYROLL,3,0
054be5f40d50b28d2b82af57159343989dd28012,FARMACIAS GUADALAJARA,4,0
054be5f40d50b28d2b82af57159343989dd28012,IZZI,6,0
054be5f40d50b28d2b82af57159343989dd28012,LIVERPOOL,4,0
054be5f40d50b28d2b82af57159343989dd28012,MELIMAS,8,1
054be5f40d50b28d2b82af57159343989dd28012,MERCADO PAGO,3,0
054be5f40d50b28d2b82af57159343989dd28012,MICROSOFT,13,1
054be5f40d50b28d2b82af57159343989dd28012,NETFLIX,13,1
054be5f40d50b28d2b82af57159343989dd28012,OXXO,4,0
054be5f40d50b28d2b82af57159343989dd28012,PARCO,11,1
054be5f40d50b28d2b82af57159343989dd28012,SAMS CLUB,1,0
054be5f40d50b28d2b82af57159343989dd28012,SHEIN,1,0
054be5f40d50b28d2b82af57159343989dd28012,SORIANA,1,0
054be5f40d50b28d2b82af57159343989dd28012,SUPERAMA,3,0
054be5f40d50b28d2b82af57159343989dd28012,TELCEL,9,1
054be5f40d50b28d2b82af57159343989dd28012,TOTAL PLAY,6,0
054be5f40d50b28d2b82af57159343989dd28012,TOTALPLAY,1,0
064a7e19386fffe76845c0af12b8971542af1270,7 ELEVEN,1,0
064a7e19386fffe76845c0af12b8971542af1270,ALIEXPRESS,2,0
064a7e19386fffe76845c0af12b8971542af1270,AMAZON,4,0
064a7e19386fffe76845c0af12b8971542af1270,AMAZON PRIME,2,0
064a7e19386fffe76845c0af12b8971542af1270,CABLEYCOMUN,5,0
064a7e19386fffe76845c0af12b8971542af1270,CARLS JR,1,0
064a7e19386fffe76845c0af12b8971542af1270,CASHI ECOMMERCE,4,0
064a7e19386fffe76845c0af12b8971542af1270,CFE,3,0
064a7e19386fffe76845c0af12b8971542af1270,CINEPOLIS,5,0
064a7e19386fffe76845c0af12b8971542af1270,COPPEL,2,0
064a7e19386fffe76845c0af12b8971542af1270,DIDI,1,0
064a7e19386fffe76845c0af12b8971542af1270,DIDI FOOD,2,0
064a7e19386fffe76845c0af12b8971542af1270,FACEBOOK,3,0
064a7e19386fffe76845c0af12b8971542af1270,FARMACIAS GUADALAJARA,7,1
064a7e19386fffe76845c0af12b8971542af1270,GOOGLE YOUTUBEPREMIUM,13,1
064a7e19386fffe76845c0af12b8971542af1270,HEB,1,0
064a7e19386fffe76845c0af12b8971542af1270,IZZI,9,1
064a7e19386fffe76845c0af12b8971542af1270,LIVERPOOL,1,0
064a7e19386fffe76845c0af12b8971542af1270,MERCADO PAGO,2,0
064a7e19386fffe76845c0af12b8971542af1270,NETFLIX,4,0
064a7e19386fffe76845c0af12b8971542af1270,OXXO,13,1
064a7e19386fffe76845c0af12b8971542af1270,SORIANA,2,0
064a7e19386fffe76845c0af12b8971542af1270,TELEFONICA,2,0
064a7e19386fffe76845c0af12b8971542af1270,TOTALPLAY,1,0
064a7e19386fffe76845c0af12b8971542af1270,UBER,1,0
0686ef5970f3e3e29ba54c0e82c22364cb1ade90,7 ELEVEN,3,0
0686ef5970f3e3e29ba54c0e82c22364cb1ade90,AMAZON,7,1
0686ef5970f3e3e29ba54c0e82c22364cb1ade90,AMAZON PRIME,1,0
